Code,Area,Year,Ethnicity,Attainment8,Progress8
E09000002,Barking and Dagenham,2015/16,Asian,55.4,0.54
E09000002,Barking and Dagenham,2015/16,Black,51,0.36
E09000002,Barking and Dagenham,2015/16,Chinese,54.8,0.18
E09000002,Barking and Dagenham,2015/16,Mixed,46.8,-0.1
E09000002,Barking and Dagenham,2015/16,White,47.3,-0.06
E09000003,Barnet,2015/16,Asian,63,0.58
E09000003,Barnet,2015/16,Black,50.6,0.2
E09000003,Barnet,2015/16,Chinese,68,0.66
E09000003,Barnet,2015/16,Mixed,57.5,0.31
E09000003,Barnet,2015/16,White,55.4,0.27
E09000004,Bexley,2015/16,Asian,59.9,0.31
E09000004,Bexley,2015/16,Black,56.6,0.35
E09000004,Bexley,2015/16,Chinese,63.4,0.38
E09000004,Bexley,2015/16,Mixed,50.7,-0.12
E09000004,Bexley,2015/16,White,50.4,-0.17
E09000005,Brent,2015/16,Asian,54.3,0.52
E09000005,Brent,2015/16,Black,46,0.02
E09000005,Brent,2015/16,Chinese,62.4,0.7
E09000005,Brent,2015/16,Mixed,49.2,-0.11
E09000005,Brent,2015/16,White,49.4,0.28
E09000006,Bromley,2015/16,Asian,65.6,0.65
E09000006,Bromley,2015/16,Black,52.2,0.26
E09000006,Bromley,2015/16,Chinese,65.7,0.47
E09000006,Bromley,2015/16,Mixed,55.5,0.19
E09000006,Bromley,2015/16,White,54.2,0.12
E09000007,Camden,2015/16,Asian,50.3,0.11
E09000007,Camden,2015/16,Black,47.8,0.07
E09000007,Camden,2015/16,Chinese,66.2,0.81
E09000007,Camden,2015/16,Mixed,48.3,-0.31
E09000007,Camden,2015/16,White,52.1,-0.1
E09000001,City of London,2015/16,Asian,.,.
E09000001,City of London,2015/16,Black,.,.
E09000001,City of London,2015/16,Chinese,.,.
E09000001,City of London,2015/16,Mixed,.,.
E09000001,City of London,2015/16,White,.,.
E09000008,Croydon,2015/16,Asian,54.8,0.47
E09000008,Croydon,2015/16,Black,48.4,0.1
E09000008,Croydon,2015/16,Chinese,64.6,0.45
E09000008,Croydon,2015/16,Mixed,48.7,-0.08
E09000008,Croydon,2015/16,White,50,0.01
E09000009,Ealing,2015/16,Asian,52.2,0.42
E09000009,Ealing,2015/16,Black,46.7,0.17
E09000009,Ealing,2015/16,Chinese,63.6,0.71
E09000009,Ealing,2015/16,Mixed,52,0.11
E09000009,Ealing,2015/16,White,51.9,0.17
E09000010,Enfield,2015/16,Asian,59.3,0.3
E09000010,Enfield,2015/16,Black,48.3,0.1
E09000010,Enfield,2015/16,Chinese,66.6,0.52
E09000010,Enfield,2015/16,Mixed,50.9,-0.13
E09000010,Enfield,2015/16,White,49.9,0.02
E09000011,Greenwich,2015/16,Asian,56.1,0.66
E09000011,Greenwich,2015/16,Black,51.3,0.21
E09000011,Greenwich,2015/16,Chinese,60.9,0.36
E09000011,Greenwich,2015/16,Mixed,49.9,-0.11
E09000011,Greenwich,2015/16,White,47.2,-0.23
E09000012,Hackney,2015/16,Asian,54.2,0.45
E09000012,Hackney,2015/16,Black,49.7,0.25
E09000012,Hackney,2015/16,Chinese,67.7,0.81
E09000012,Hackney,2015/16,Mixed,52.6,0.27
E09000012,Hackney,2015/16,White,54.6,0.39
E09000013,Hammersmith and Fulham,2015/16,Asian,54.9,0.23
E09000013,Hammersmith and Fulham,2015/16,Black,48.3,0.01
E09000013,Hammersmith and Fulham,2015/16,Chinese,66.2,0.76
E09000013,Hammersmith and Fulham,2015/16,Mixed,52.8,-0.03
E09000013,Hammersmith and Fulham,2015/16,White,57.4,0.15
E09000014,Haringey,2015/16,Asian,52.2,0.39
E09000014,Haringey,2015/16,Black,45.6,0.13
E09000014,Haringey,2015/16,Chinese,54.5,0.82
E09000014,Haringey,2015/16,Mixed,52.2,0.18
E09000014,Haringey,2015/16,White,51.8,0.35
E09000015,Harrow,2015/16,Asian,55.6,0.46
E09000015,Harrow,2015/16,Black,49.4,0.24
E09000015,Harrow,2015/16,Chinese,63,0.28
E09000015,Harrow,2015/16,Mixed,51.8,0.1
E09000015,Harrow,2015/16,White,52.3,0.19
E09000016,Havering,2015/16,Asian,55.2,0.4
E09000016,Havering,2015/16,Black,51.2,0.13
E09000016,Havering,2015/16,Chinese,61.5,0.29
E09000016,Havering,2015/16,Mixed,50.6,-0.14
E09000016,Havering,2015/16,White,49.5,-0.21
E09000017,Hillingdon,2015/16,Asian,55.9,0.43
E09000017,Hillingdon,2015/16,Black,48.2,0.17
E09000017,Hillingdon,2015/16,Chinese,61.8,0.73
E09000017,Hillingdon,2015/16,Mixed,52.2,0.1
E09000017,Hillingdon,2015/16,White,48.4,-0.23
E09000018,Hounslow,2015/16,Asian,56.6,0.62
E09000018,Hounslow,2015/16,Black,49.8,0.3
E09000018,Hounslow,2015/16,Chinese,51.8,0.91
E09000018,Hounslow,2015/16,Mixed,55.9,0.31
E09000018,Hounslow,2015/16,White,52.6,0.18
E09000019,Islington,2015/16,Asian,54.6,0.51
E09000019,Islington,2015/16,Black,49.4,0.22
E09000019,Islington,2015/16,Chinese,x,x
E09000019,Islington,2015/16,Mixed,49.2,0.04
E09000019,Islington,2015/16,White,49.9,0.03
E09000020,Kensington and Chelsea,2015/16,Asian,58.9,0.49
E09000020,Kensington and Chelsea,2015/16,Black,52.4,0.32
E09000020,Kensington and Chelsea,2015/16,Chinese,x,x
E09000020,Kensington and Chelsea,2015/16,Mixed,56.3,0.26
E09000020,Kensington and Chelsea,2015/16,White,58.1,0.31
E09000021,Kingston upon Thames,2015/16,Asian,63.1,0.58
E09000021,Kingston upon Thames,2015/16,Black,52,0.23
E09000021,Kingston upon Thames,2015/16,Chinese,70.8,0.62
E09000021,Kingston upon Thames,2015/16,Mixed,61.1,0.37
E09000021,Kingston upon Thames,2015/16,White,55.8,0.23
E09000022,Lambeth,2015/16,Asian,54.5,0.32
E09000022,Lambeth,2015/16,Black,47.9,-0.02
E09000022,Lambeth,2015/16,Chinese,63.6,0.25
E09000022,Lambeth,2015/16,Mixed,48.6,-0.05
